poiid,title,location
10833,Biology,-43.5228112978617, 172.58383154869102
11282,Business and Law,-43.5251305555556, 172.58426944444398
11055,Central Lecture Theatres,-43.5230991380012, 172.58359551429703
10751,Civil-Mechanical Engineering building,-43.5211231266945, 172.58368134498596
10735,Communication Disorders building,-43.520197335354, 172.58205056190502
11131,Dovedale Village DA01-05,-43.521097842665945, 172.57003694772754
11020,Dovedale Village DB01-07,-43.52112507161936, 172.57031053304706
11003,Dovedale Village DC01-07,-43.52132345362346, 172.5702434778209
11019,Dovedale Village DD01-07,-43.521200923639114, 172.57081210613296
11022,Dovedale Village DE01-07,-43.521383746064046, 172.57076382636978
11023,Dovedale Village DF01-07,-43.52124371191586, 172.5713270902629
11024,Dovedale Village DG01-07,-43.521461542672625, 172.57129490375496
11093,E8 and E9 Engineering Lecture Theatres,-43.5219161280308, 172.58351428903893
10734,Erskine,-43.5226388888889, 172.58109444444403
10674,Facilities Management building,-43.5216560337551, 172.58043587207794
10756,Fine Arts Block 1,-43.52438662235557, 172.5856178998946
17847,Fine Arts Block 2,-43.524748721583826, 172.58550508863834
17848,Fine Arts Block 3,-43.52512990274513, 172.58545144445804
10934,Forestry,-43.523262506118, 172.58538722991898
10775,Geography,-43.5236981522669, 172.58429288864102
10698,Health Centre,-43.5250828637766, 172.58131027221702
10744,ICT building,-43.5246083313896, 172.58255481719993
10792,Ilam Homestead,-43.52447219436, 172.57703483104706
10707,Jack Mann Auditorium,-43.5220194444444, 172.567633333333
10851,John Britten (formerly NZi3),-43.5203871582047, 172.58281625925804
10653,Karl Popper,-43.5246550068719, 172.58403539657604
10953,Kirkwood Village KA01-04,-43.5270976400447, 172.58379936218296
10954,Kirkwood Village KB01-05,-43.5274710274829, 172.583547234535
11117,Kirkwood Village KC01-07,-43.5268564927624, 172.58355796337105
10956,Kirkwood Village KD01-08,-43.5273582336045, 172.58306980133102
10959,Kirkwood Village KE01-07,-43.5266347919911, 172.58311271667503
10952,Kirkwood Village KF01-08,-43.5271287557528, 172.58264064788796
10957,Kirkwood Village KG01-07,-43.526366416283, 172.582705020905
10962,Kirkwood Village KH01-08,-43.5268720506807, 172.58223295211803
10963,Kirkwood Village KJ0-03,-43.52646170924352, 172.58205592632237
10800,Logie,-43.52463750357017, 172.58303761482193
10981,Macmillan Brown Library building,-43.5234569913946, 172.58593440055802
11297,Matariki,-43.5235075574639, 172.58164823055301
10673,Music,-43.5252151098422, 172.583209276199
10670,Māori Students' Study Centre / Te Whare Akonga o Te Akatoki,-43.5210647789202, 172.579105496407
10644,North Arts Lecture Theatres,-43.5241104573316, 172.583627700806
10630,Okeover,-43.52323138841554, 172.5806289911269
10760,Psychology-Sociology,-43.5242174228077, 172.58429288864102
10824,Puaka-James Hight,-43.5238194444444, 172.582758333333
10631,Recreation Centre building,-43.52725, 172.58455000000003
10840,Rutherford,-43.5221500382857, 172.582286596298
10658,South Arts Lecture Theatres,-43.5249428382145, 172.58352041244507
11120,UCSA Events Centre,-43.52507067222768, 172.5802259007861
10838,University Book Shop,-43.52409198145735, 172.58205324411438
10718,von Haast,-43.52257013344425, 172.5834386050699
10708,Wheki,-43.52238096541166, 172.56891024785045
90001,Waimairi-Village,-43.522167, 172.573536
10763,Sonoda,-43.522178, 172.570621
10758,Ilam Villages,-43.525586, 172.574641
90002,Uni Halls,-43.520312, 172.578182
90003,Bishop Julius Hall Of Residence,-43.524316, 172.573337
90004,Collge House,-43.523613, 172.573673
90005,CEPS,-43.527897, 172.584873
90006,CoEd Library,-43.521684, 172.568019
90007,Physical Science Library,-43.521363, 172.584630
90008,UCSA Car Park,-43.524569, 172.580134
