tempParkAssetID,SiteName,InContract,ContractArea,Artwork,LongDescription,Area
88054,GROYNES,No,Northern Contract Area,No,Small dog agility,1093.7
88055,GROYNES,No,Northern Contract Area,No,Water park,2037.3
88056,GROYNES,No,Northern Contract Area,No,Exercise area,12413.8
88068,GROYNES,No,Northern Contract Area,No,Large Dog agility,4401.5
88077,GROYNES,No,Northern Contract Area,No,Cross country park,23683.4
88087,GROYNES,No,Northern Contract Area,No,Tree Park,13409.2
88088,GROYNES,No,Northern Contract Area,No,Bookable park,16586.3
88093,GROYNES,No,Northern Contract Area,No,River park,125928.4
88687,HORSESHOE LAKE RESERVE,Yes,Eastern Contract Area,No,horseshoe lake dog park,1107.8
90006,STYX MILL CONSERVATION RESERVE,No,Northern Contract Area,No,styx mill dog park,27617.5
